dataset	NCBIname	nLoci	GCtot_avg	GCtot_std	GC12_avg	GC12_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r_GC3_GCutr	r_expression_ENc_cub	r_expression_ENc_JN	r_expression_ENcP_cub	r_expression_ENcP_JN	r_expression_ENcPFDS_cub	r_expression_Um_cub
Carcinus_aestuarii	Carcinus aestuarii	14426	0.50358	0.05738	0.47863	0.0557	0.55353	0.11493	0.41892	0.07943	0.28369	0.13813	-0.02811	0.16767	-0.0397	0.16326	-0.11187
Chelonoidis_nigra	Chelonoidis nigra	9387	0.46661	0.06322	0.46212	0.05618	0.47559	0.12085	0.40521	0.08414	0.49069	0.04979	-0.0174	0.05002	-0.06554	0.05159	0.00169
Chlorocebus_aethiops	Chlorocebus aethiops	11180	0.48562	0.06872	0.47035	0.05637	0.51623	0.14557	0.44637	0.09516	0.49467	0.23009	-0.07224	0.2996	-0.06356	0.27891	-0.15251
Ciona_intestinalis_A	Ciona cf. intestinalis A AZ-2012	8094	0.40521	0.0434	0.42004	0.04919	0.37554	0.07121	0.2992	0.06472	0.12206	-0.12578	-0.03125	-0.1617	-0.10878	-0.12856	0.11662
Ciona_intestinalis_B	Ciona cf. intestinalis B AZ-2012	5753	0.40436	0.03792	0.42401	0.0412	0.36505	0.06891	0.30876	0.05248	0.14015	-0.06211	-0.01283	-0.08886	-0.08746	-0.06667	0.08376
Crepidula_fornicata	Crepidula fornicata	7008	0.52725	0.04816	0.48339	0.04987	0.61504	0.10495	0.41044	0.07531	0.14847	-0.11643	-0.1467	-0.07237	-0.18172	-0.07013	0.08203
Crepidula_plana	Crepidula plana	3278	0.52535	0.04148	0.48402	0.05056	0.60813	0.09262	0.40793	0.07106	0.14132	0.17687	-0.18754	0.25352	-0.22144	0.21036	-0.06128
Culex_hortensis	Culex hortensis	14005	0.53247	0.06447	0.46822	0.05488	0.66141	0.14344	0.41596	0.09812	0.35142	0.01081	-0.15304	0.13358	-0.14711	0.11749	-0.0278
Culex_pipiens_ref	Culex pipiens	410	0.57166	0.03621	0.48069	0.03635	0.75361	0.07988	0.50914	0.21073	-0.51667	-0.25664	-0.14505	-0.31478	-0.19591	-0.28424	0.22738
Culex_torrentium	Culex torrentium	12258	0.54889	0.05504	0.47674	0.05257	0.69356	0.12134	0.40946	0.09405	0.22149	0.10475	-0.13593	0.21341	-0.15437	0.18477	-0.04744
Cystodites_dellechiajei_blue	Cystodytes dellechiajei	26689	0.45657	0.05434	0.45169	0.04781	0.46633	0.1074	0.37524	0.06929	0.29497	0.11693	0.03021	0.10006	-0.03528	0.09819	-0.06196
Cystodites_dellechiajei_purple	Cystodytes aucklandicus	33908	0.45536	0.05533	0.45014	0.04832	0.46579	0.11083	0.37369	0.08068	0.32163	-0.04777	0.00412	-0.07615	-0.07184	-0.06974	0.08492
Daubentonia_madagascariensis	Daubentonia madagascariensis	9082	0.4735	0.06409	0.46197	0.05309	0.49663	0.13801	0.42448	0.09258	0.47379	0.03707	-0.01112	0.04628	-0.01135	0.04416	-0.02398
Echinocardium_cordatum_B2	Echinocardium cordatum	23422	0.5159	0.05392	0.47606	0.05177	0.59581	0.12482	0.39158	0.08481	0.14343	-0.10953	-0.12134	-0.05935	-0.10476	-0.05165	0.04061
Echinocardium_mediterraneum	Echinocardium mediterraneum	20843	0.50296	0.04751	0.47109	0.04473	0.56678	0.10992	0.38411	0.07057	0.09476	-0.17882	-0.13253	-0.15021	-0.12701	-0.1343	0.11866
Emiliania_huxleyi	Emiliania huxleyi	16719	0.67078	0.03246	0.59157	0.04523	0.82948	0.07508	0.61925	0.07671	0.12978	-0.05779	-0.08924	0.01772	-0.10498	0.05243	-0.01747
Emys_orbicularis	Emys orbicularis	4522	0.48968	0.06752	0.47419	0.05528	0.52066	0.13622	0.42395	0.09609	0.54586	-0.03392	0.00644	-0.06503	-0.07503	-0.03459	0.05089
Eudyptes_filholi	Eudyptes filholi	6640	0.48357	0.07374	0.46896	0.05586	0.51283	0.1538	0.41149	0.09031	0.5735	0.05283	0.01342	0.05085	-0.04806	0.05643	-0.02142
Eudyptes_moseleyi	Eudyptes chrysocome moseleyi	8417	0.49174	0.07921	0.47398	0.05901	0.52729	0.16219	0.42112	0.09429	0.60418	0.03068	-0.01216	0.04575	-0.06447	0.05081	-0.02601
Eulemur_coronatus	Eulemur coronatus	9666	0.48002	0.06918	0.46585	0.05535	0.50842	0.14801	0.43281	0.09763	0.50036	0.25536	-0.06751	0.33181	-0.06665	0.30361	-0.17669
Eulemur_mongoz	Eulemur mongoz	8510	0.48712	0.06603	0.46844	0.05354	0.52459	0.14683	0.44788	0.09987	0.47264	0.25559	-0.08704	0.35137	-0.08382	0.32008	-0.20179
Eunicella_cavolinii	Eunicella cavolinii	19803	0.41368	0.03786	0.43575	0.04717	0.36944	0.06695	0.34611	0.08525	0.11817	-0.13163	-0.0573	-0.11773	-0.07021	-0.0992	0.0741
Eunicella_verrucosa	Eunicella verrucosa	18812	0.41384	0.03769	0.43715	0.04796	0.36712	0.06663	0.33554	0.07209	0.09957	0.22592	-0.05405	0.24965	-0.01745	0.23774	-0.14278
Galago_senegalensis	Galago senegalensis	4700	0.47068	0.06269	0.46058	0.05474	0.49095	0.12905	0.42456	0.09588	0.48017	0.26642	-0.07051	0.29844	-0.09432	0.27649	-0.11235
Halictus_scabiosae	Halictus scabiosae	5773	0.4291	0.06393	0.43205	0.049	0.4232	0.13591	0.3482	0.08421	0.4807	-0.08616	0.01419	-0.16761	-0.10404	-0.14896	0.1378
Halictus_sexinctus	Halictus sexcinctus	4843	0.41603	0.05905	0.42564	0.04878	0.39678	0.13077	0.33033	0.08144	0.48095	0.38816	0.01634	0.34399	-0.08633	0.30968	-0.1297
Halictus_simplex	Halictus simplex	6142	0.41235	0.05968	0.42451	0.0499	0.38799	0.1313	0.33308	0.08194	0.46822	0.39877	0.0497	0.37186	-0.04861	0.3402	-0.1639
Hippocampus_guttulatus	Hippocampus guttulatus	20289	0.54068	0.05826	0.48949	0.05134	0.64313	0.11941	0.44794	0.07486	0.26435	-0.07406	-0.01464	-0.10425	-0.05379	-0.11057	0.15124
Hippocampus_hippocampus	Hippocampus hippocampus	21112	0.5368	0.05815	0.4877	0.05184	0.63503	0.12119	0.44965	0.07401	0.28242	0.11327	-0.05348	0.18806	-0.05979	0.16939	-0.08936
