dataset	NCBIname	nLoci	GCtot_avg	GCtot_std	GC12_avg	GC12_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r_GC3_GCutr	r_expression_ENc_cub	r_expression_ENc_JN	r_expression_ENcP_cub	r_expression_ENcP_JN	r_expression_ENcPFDS_cub	r_expression_Um_cub
Abatus_agassizi	Abatus agassizii	11031	0.49922	0.051	0.47193	0.04971	0.55387	0.11885	0.38055	0.07007	0.11161	0.07077	-0.09169	0.12573	-0.08639	0.12287	-0.11931
Abatus_cordatus	Abatus cordatus	3765	0.50665	0.04956	0.47452	0.04924	0.57094	0.10426	0.3672	0.06565	0.04177	-0.10603	-0.19159	-0.02512	-0.17675	-0.02853	0.02297
Allolobophora_chlorotica_L1	Allolobophora chlorotica L1	28979	0.48222	0.04343	0.46912	0.04873	0.50846	0.09576	0.39901	0.06844	0.24256	0.08215	-0.07581	0.08496	-0.09717	0.08128	-0.0597
Allolobophora_chlorotica_L2	Allolobophora chlorotica L2	50541	0.48337	0.04525	0.46963	0.05129	0.51093	0.10041	0.40099	0.07774	0.24138	-0.07305	-0.09125	-0.07365	-0.11966	-0.07047	0.08705
Allolobophora_chlorotica_L4	Allolobophora chlorotica L4	21991	0.48404	0.04248	0.47066	0.04824	0.51082	0.09496	0.39683	0.06781	0.24816	0.05109	-0.10112	0.0562	-0.12788	0.05497	-0.04033
Aporrectodea_icterica	Aporrectodea icterica	12908	0.48282	0.0421	0.47016	0.04847	0.50819	0.09594	0.39726	0.06522	0.18775	0.13893	-0.08737	0.14967	-0.10534	0.14361	-0.09514
Aptenodytes_patagonicus	Aptenodytes patagonicus	4784	0.46998	0.06223	0.4634	0.05307	0.48315	0.12373	0.39614	0.08034	0.45802	-0.03059	-0.01848	-0.02861	-0.07493	-0.02397	0.04018
Armadillidium_nasatum	Armadillidium nasatum	15722	0.38672	0.04428	0.42547	0.05339	0.30909	0.06914	0.29461	0.08945	0.13417	0.16699	-0.05182	0.16888	-0.09338	0.15895	-0.13526
Armadillidium_vulgare	Armadillidium vulgare	16373	0.38395	0.04806	0.41752	0.0547	0.31674	0.07425	0.29312	0.09043	0.2562	-0.08328	-0.02766	-0.11506	-0.10491	-0.0929	0.09119
Artemia_franciscana	Artemia franciscana	15127	0.40741	0.03681	0.44032	0.04938	0.34147	0.0546	0.33932	0.08463	0.0722	-0.13961	0.0073	-0.17097	-0.07849	-0.13944	0.10054
Artemia_salina	Artemia salina	13586	0.40863	0.0357	0.44317	0.0497	0.33939	0.05394	0.32139	0.07213	0.04735	0.26959	-0.0639	0.28613	-0.03519	0.27752	-0.18383
Artemia_sinica	Artemia sinica	12607	0.41094	0.03604	0.44427	0.0502	0.34413	0.05393	0.32768	0.074	0.0655	0.26116	-0.06773	0.27504	-0.05048	0.27216	-0.19667
Artemia_tibetana	Artemia tibetiana	13098	0.41097	0.03639	0.44418	0.04969	0.34442	0.0544	0.32812	0.07308	0.03647	0.27301	-0.0557	0.28789	-0.04442	0.28456	-0.20889
Bostrycapulus_aculeatus	Bostrycapulus aculeatus	5286	0.51154	0.04148	0.48184	0.05225	0.57105	0.09716	0.40523	0.07197	0.09991	0.19707	-0.17501	0.26665	-0.20033	0.2203	-0.073
Caenorhabditis_brenneri	Caenorhabditis brenneri	3000	0.45199	0.0442	0.4597	0.05394	0.43655	0.1004	0.32492	0.07021	0.1741	-0.24685	-0.33367	-0.24381	-0.32511	-0.28434	0.25762
Caenorhabditis_sp10	Caenorhabditis elegans	5099	0.42819	0.04113	0.44595	0.05135	0.39259	0.0879	0.31918	0.06878	0.10509	0.04956	-0.28213	0.00757	-0.33171	-0.05417	0.18101
Callithrix_jacchus	Callithrix jacchus	9439	0.47341	0.06293	0.46215	0.05201	0.496	0.13731	0.4286	0.0892	0.50855	0.29904	-0.07923	0.36251	-0.07806	0.32664	-0.1833
Camponotus_aethiops	Camponotus aethiops	7540	0.43138	0.07736	0.433	0.06198	0.42814	0.13685	0.34018	0.09018	0.45805	0.09061	-0.06989	0.15476	0.01864	0.15432	-0.06359
Camponotus_ligniperdus_4indiv	Camponotus ligniperdus	8308	0.42702	0.07413	0.43071	0.05939	0.41962	0.13109	0.35346	0.08675	0.42101	-0.0644	-0.06015	-0.03346	-0.03421	-0.02301	0.08127
